Date,MSFT,AAPL,C,GS,JPM
2015-01-31,34.501609802246094,25.99857521057129,35.18431854248047,139.36558532714844,40.6574592590332
2015-02-28,37.71442413330078,28.618619918823242,39.28352737426758,153.89613342285156,45.81625747680664
2015-03-31,34.970767974853516,27.720808029174805,38.609066009521484,152.4203643798828,45.29292297363281
2015-04-30,41.83419418334961,27.881210327148438,39.957984924316406,159.27224731445312,47.61098861694336
2015-05-31,40.56517791748047,29.145322799682617,40.5659294128418,167.7159881591797,49.50760269165039
2015-06-30,38.219215393066406,28.060312271118164,41.43606185913086,169.83082580566406,50.997806549072266
2015-07-31,40.42667007446289,27.136383056640625,43.88865661621094,166.80494689941406,51.9144287109375
2015-08-31,37.92229080200195,25.34005355834961,40.14993667602539,153.93695068359375,48.558509826660156
2015-09-30,38.567100524902344,24.7872314453125,37.244544982910156,141.82447814941406,46.187400817871094
2015-10-31,45.869232177734375,26.854698181152344,39.953704833984375,153.0391845703125,49.02333068847656
2015-11-30,47.678504943847656,26.698833465576172,40.64502716064453,155.6271514892578,50.87744903564453
2015-12-31,48.6697998046875,23.755868911743164,38.886661529541016,147.60906982421875,50.381500244140625
2016-01-31,48.32766342163086,21.968414306640625,32.035518646240234,132.31822204589844,45.70359420776367
2016-02-29,44.95491027832031,21.94013786315918,29.229215621948242,122.99775695800781,43.24558639526367
2016-03-31,48.798362731933594,24.731159210205078,31.411060333251953,129.12586975097656,45.4885139465332
2016-04-30,44.062530517578125,21.27074432373047,34.856082916259766,134.9906768798828,48.90507507324219
2016-05-31,47.15557861328125,22.797409057617188,35.07448959350586,131.72000122070312,50.50687789916992
2016-06-30,45.527374267578125,21.82488250732422,31.92630386352539,122.71726989746094,48.08483123779297
2016-07-31,50.42977523803711,23.79048728942871,33.115413665771484,131.1665802001953,49.886260986328125
2016-08-31,51.44239807128906,24.353178024291992,36.0860481262207,140.51011657714844,52.639095306396484
2016-09-30,51.56772994995117,25.948413848876953,35.70055389404297,133.71926879882812,51.9294319152832
2016-10-31,53.6447639465332,26.060882568359375,37.151851654052734,147.79017639160156,54.40424728393555
2016-11-30,54.31361770629883,25.49793815612793,42.765445709228516,182.3909454345703,62.97412109375
2016-12-31,56.00809860229492,26.720706939697266,45.0709228515625,199.15869140625,67.78141021728516
2017-01-31,58.270416259765625,27.996519088745117,42.34073257446289,190.73324584960938,66.8453140258789
2017-02-28,58.016136169433594,31.741836547851562,45.48896789550781,206.85922241210938,71.5765609741211
2017-03-31,59.72089385986328,33.28733825683594,45.49657440185547,191.56532287597656,69.3807601928711
2017-04-30,62.078529357910156,33.28501892089844,45.08421325683594,186.6285858154297,69.11210632324219
2017-05-31,63.69289779663086,35.54197692871094,46.167091369628906,176.76449584960938,65.2593002319336
2017-06-30,62.86298370361328,33.50848388671875,51.001895904541016,185.6671142578125,72.6074447631836
2017-07-31,66.3011703491211,34.6043586730957,52.199161529541016,188.5370635986328,73.32630157470703
2017-08-31,68.55228424072266,38.306983947753906,52.11913299560547,187.84609985351562,72.59942626953125
2017-09-30,68.2955551147461,35.99923324584961,55.72754669189453,199.13833618164062,76.28971862792969
2017-10-31,76.2629165649414,39.48422622680664,56.309783935546875,203.57962036132812,80.83316802978516
2017-11-30,77.55815124511719,40.284889221191406,58.09075927734375,208.56521606445312,83.9745864868164
2017-12-31,78.82054138183594,39.67070007324219,57.25209426879883,214.56178283691406,85.91889190673828
2018-01-31,87.54662322998047,39.248756408691406,60.383609771728516,225.62002563476562,93.41696166992188
2018-02-28,86.80992126464844,41.92493438720703,58.31868362426758,222.0642547607422,93.2796630859375
2018-03-31,84.4954833984375,39.491146087646484,52.14613342285156,212.71481323242188,88.81355285644531
2018-04-30,86.5784912109375,38.89799880981445,52.7409782409668,201.28768920898438,88.29800415039062
2018-05-31,91.90022277832031,44.15406799316406,51.764198303222656,191.44737243652344,86.86126708984375
2018-06-30,91.68634796142578,43.73820114135742,51.94270324707031,186.94677734375,84.580322265625
2018-07-31,98.63188171386719,44.96215057373047,55.80039596557617,201.23672485351562,93.81330108642578
2018-08-31,104.84497833251953,53.973567962646484,55.644405364990234,202.22633361816406,93.51134490966797
2018-09-30,106.74906158447266,53.525428771972656,56.03495788574219,190.68678283691406,92.09127807617188
2018-10-31,99.69277954101562,51.89409255981445,51.12974548339844,191.64764404296875,89.59674835205078
2018-11-30,103.94805908203125,42.49100875854492,50.95475769042969,162.8135223388672,91.38013458251953
2018-12-31,95.21151733398438,37.532379150390625,40.94309997558594,142.62940979003906,80.22779846191406
2019-01-31,97.89247131347656,39.602439880371094,50.69521713256836,169.0634002685547,85.75098419189453
2019-02-28,105.4651870727539,41.375701904296875,50.671451568603516,168.6231689453125,86.4635009765625
2019-03-31,111.02887725830078,45.39021301269531,49.277549743652344,164.58551025390625,83.8702392578125
2019-04-30,122.9469985961914,47.95184326171875,55.99359893798828,176.52713012695312,96.88452911376953
2019-05-31,116.8635025024414,41.99561309814453,49.538944244384766,157.14663696289062,88.46088409423828
2019-06-30,126.57693481445312,47.476837158203125,55.81999206542969,176.18609619140625,93.33643341064453
2019-07-31,128.75962829589844,51.10380935668945,56.72069549560547,189.5593719482422,97.52841186523438
2019-08-31,130.6957550048828,50.26258850097656,51.67814254760742,176.69393920898438,92.36610412597656
2019-09-30,131.80494689941406,53.92982482910156,55.47670364379883,179.57080078125,98.94928741455078
2019-10-31,135.91941833496094,59.89900207519531,57.709266662597656,184.8999481201172,105.86933135986328
2019-11-30,144.00148010253906,64.54441833496094,60.75851821899414,192.8876495361328,111.66620635986328
