Ticker,final_values,rank
only_buy_TSM_value,446135.9101510669,1
only_buy_GOOG_value,253816.13769706068,2
only_buy_LIN_value,163842.4206058889,3
only_buy_VLO_value,159021.0132413005,4
tota_cum_value,149364.6100871981,5
only_buy_^SPX_value,136688.84807486032,6
only_buy_EXC_value,122894.43770367972,7
only_buy_MDLZ_value,88567.5942312904,8
only_buy_USB_value,82047.83401253071,9
only_buy_CCI_value,71431.26055911112,10
only_buy_NKE_value,59337.6569828706,11
only_buy_BMY_value,59293.00561096666,12
only_buy_UPS_value,55981.72662620079,13
