Ticker,final_values,rank
only_buy_META_value,254636.15089405558,1
only_buy_TJX_value,183734.02932350003,2
only_buy_RTX_value,146422.08340626088,3
only_buy_^SPX_value,136688.84807486032,4
tota_cum_value,132536.71678986048,5
only_buy_CSCO_value,130961.89303177822,6
only_buy_ECL_value,118214.2756653167,7
only_buy_CVX_value,109578.03841819474,8
only_buy_KO_value,103212.11949624456,9
only_buy_ED_value,98745.36569032569,10
only_buy_USB_value,82047.83401253071,11
only_buy_CCI_value,71431.26055911112,12
only_buy_PFE_value,59782.80513214336,13
