Ticker,final_values,rank
only_buy_NVDA_value,3736940.3008062644,1
tota_cum_value,433403.00491286523,2
only_buy_ABBV_value,205307.42718064637,3
only_buy_ETR_value,164340.19349727593,4
only_buy_BAC_value,143887.42418837722,5
only_buy_^SPX_value,136688.84807486032,6
only_buy_MCD_value,125490.91397850685,7
only_buy_DLR_value,119107.94059496267,8
only_buy_UNP_value,110450.28824521917,9
only_buy_CVX_value,109578.03841819474,10
only_buy_PG_value,102948.72564846037,11
only_buy_VZ_value,74531.35490950114,12
only_buy_ALB_value,70381.08658240073,13
