Ticker,final_values,rank
only_buy_ORCL_value,320679.61844346486,1
only_buy_MLM_value,164536.0894402267,2
only_buy_BAC_value,143887.42418837722,3
only_buy_HD_value,138421.5059806146,4
only_buy_^SPX_value,136688.84807486032,5
only_buy_DHR_value,133512.44282674667,6
only_buy_AEP_value,119293.32535952805,7
tota_cum_value,109163.5070474174,8
only_buy_MDLZ_value,88567.5942312904,9
only_buy_BA_value,74558.4821998789,10
only_buy_CCI_value,71431.26055911112,11
only_buy_DIS_value,66839.0636706388,12
only_buy_HAL_value,57477.09715093998,13
