Ticker,final_values,rank
only_buy_AAPL_value,295128.46274995245,1
only_buy_META_value,254636.15089405558,2
only_buy_MPC_value,227505.58980007854,3
tota_cum_value,162419.98743385877,4
only_buy_NUE_value,144903.44443267531,5
only_buy_BAC_value,143887.42418837722,6
only_buy_HD_value,138421.5059806146,7
only_buy_^SPX_value,136688.84807486032,8
only_buy_DLR_value,119107.94059496267,9
only_buy_SRE_value,113558.64838681382,10
only_buy_MDLZ_value,88567.5942312904,11
only_buy_BA_value,74558.4821998789,12
only_buy_BMY_value,59293.00561096666,13
