Ticker,final_values,rank
only_buy_NFLX_value,333609.37823117926,1
only_buy_MS_value,232013.12552527015,2
only_buy_DE_value,191071.76485434442,3
tota_cum_value,181926.8992828458,4
only_buy_LOW_value,145813.8477504049,5
only_buy_^SPX_value,136688.84807486032,6
only_buy_NEE_value,133086.23549481956,7
only_buy_XOM_value,120667.69435358811,8
only_buy_CRM_value,119675.870662481,9
only_buy_SPG_value,111187.83660606507,10
only_buy_JNJ_value,106066.3346444842,11
only_buy_DD_value,80773.13561400973,12
only_buy_KMB_value,74719.66008710109,13
