Ticker,final_values,rank
only_buy_GOOG_value,253816.13769706068,1
only_buy_WMT_value,207922.161025349,2
only_buy_DE_value,191071.76485434442,3
tota_cum_value,146206.9162929618,4
only_buy_LOW_value,145813.8477504049,5
only_buy_ALL_value,141389.5025370614,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_NEE_value,133086.23549481956,8
only_buy_CSCO_value,130961.89303177822,9
only_buy_CVX_value,109578.03841819474,10
only_buy_AMT_value,88426.7886995065,11
only_buy_DD_value,80773.13561400973,12
only_buy_PFE_value,59782.80513214336,13
