Ticker,final_values,rank
only_buy_NVDA_value,3736940.3008062644,1
tota_cum_value,732254.1447113552,2
only_buy_META_value,254636.15089405558,3
only_buy_COST_value,242591.90200228308,4
only_buy_MS_value,232013.12552527015,5
only_buy_MLM_value,164536.0894402267,6
only_buy_RTX_value,146422.08340626088,7
only_buy_SO_value,138297.9139516132,8
only_buy_^SPX_value,136688.84807486032,9
only_buy_XOM_value,120667.69435358811,10
only_buy_DLR_value,119107.94059496267,11
only_buy_MRK_value,92103.58227501695,12
only_buy_NKE_value,59337.6569828706,13
