Ticker,final_values,rank
only_buy_AAPL_value,295128.46274995245,1
only_buy_GS_value,218283.80889695976,2
only_buy_ABBV_value,205307.42718064637,3
only_buy_AMZN_value,195033.9423330396,4
only_buy_^SPX_value,136688.84807486032,5
tota_cum_value,127454.94375233221,6
only_buy_ECL_value,118214.2756653167,7
only_buy_UNP_value,110450.28824521917,8
only_buy_PG_value,102948.72564846037,9
only_buy_ED_value,98745.36569032569,10
only_buy_AVB_value,78383.01329018439,11
only_buy_HAL_value,57477.09715093998,12
only_buy_CHTR_value,48310.72385205812,13
