Ticker,final_values,rank
only_buy_AMD_value,1264356.6291312804,1
tota_cum_value,425325.4258986366,2
only_buy_GE_value,272677.8248358907,3
only_buy_GOOG_value,253816.13769706068,4
only_buy_TJX_value,183734.02932350003,5
only_buy_MLM_value,164536.0894402267,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_WFC_value,134902.57755482188,8
only_buy_EXC_value,122894.43770367972,9
only_buy_EOG_value,96861.04837948106,10
only_buy_MDLZ_value,88567.5942312904,11
only_buy_CVS_value,84280.17001036035,12
only_buy_AVB_value,78383.01329018439,13
