Ticker,final_values,rank
only_buy_GOOG_value,253816.13769706068,1
only_buy_NEM_value,185673.25867087222,2
only_buy_SO_value,138297.9139516132,3
only_buy_^SPX_value,136688.84807486032,4
tota_cum_value,135065.85211040667,5
only_buy_PSX_value,115659.34218948694,6
only_buy_SPG_value,111187.83660606507,7
only_buy_SYY_value,96453.4271233056,8
only_buy_SBUX_value,83670.55582381814,9
only_buy_USB_value,82047.83401253071,10
only_buy_BA_value,74558.4821998789,11
only_buy_INTC_value,74135.00937784351,12
only_buy_PFE_value,59782.80513214336,13
