Ticker,final_values,rank
only_buy_TSM_value,446135.9101510669,1
only_buy_TMUS_value,189218.34938077317,2
tota_cum_value,159367.902287968,3
only_buy_LOW_value,145813.8477504049,4
only_buy_^SPX_value,136688.84807486032,5
only_buy_WFC_value,134902.57755482188,6
only_buy_PLD_value,128617.2355439045,7
only_buy_EXC_value,122894.43770367972,8
only_buy_JNJ_value,106066.3346444842,9
only_buy_EOG_value,96861.04837948106,10
only_buy_MDLZ_value,88567.5942312904,11
only_buy_DD_value,80773.13561400973,12
only_buy_BA_value,74558.4821998789,13
