Ticker,final_values,rank
only_buy_LLY_value,408820.3452251787,1
only_buy_WMT_value,207922.161025349,2
only_buy_NEM_value,185673.25867087222,3
only_buy_ETR_value,164340.19349727593,4
tota_cum_value,162666.7782714004,5
only_buy_LOW_value,145813.8477504049,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_WFC_value,134902.57755482188,8
only_buy_CRM_value,119675.870662481,9
only_buy_HON_value,97119.95616013586,10
only_buy_AMT_value,88426.7886995065,11
only_buy_OXY_value,67757.606639551,12
only_buy_CHTR_value,48310.72385205812,13
