Ticker,final_values,rank
only_buy_NFLX_value,333609.37823117926,1
only_buy_ORCL_value,320679.61844346486,2
only_buy_JPM_value,210618.9956024592,3
tota_cum_value,209540.64082270386,4
only_buy_DE_value,191071.76485434442,5
only_buy_WELL_value,183395.29778483696,6
only_buy_LOW_value,145813.8477504049,7
only_buy_^SPX_value,136688.84807486032,8
only_buy_XOM_value,120667.69435358811,9
only_buy_ECL_value,118214.2756653167,10
only_buy_DUK_value,116696.49213134237,11
only_buy_JNJ_value,106066.3346444842,12
only_buy_CL_value,77916.84618374998,13
