Ticker,final_values,rank
only_buy_AAPL_value,295128.46274995245,1
only_buy_GE_value,272677.8248358907,2
only_buy_META_value,254636.15089405558,3
only_buy_MPC_value,227505.58980007854,4
tota_cum_value,193925.79549261145,5
only_buy_LIN_value,163842.4206058889,6
only_buy_ALL_value,141389.5025370614,7
only_buy_SO_value,138297.9139516132,8
only_buy_^SPX_value,136688.84807486032,9
only_buy_DLR_value,119107.94059496267,10
only_buy_PG_value,102948.72564846037,11
only_buy_CVS_value,84280.17001036035,12
only_buy_NKE_value,59337.6569828706,13
