Ticker,final_values,rank
only_buy_AVGO_value,888311.8448904158,1
tota_cum_value,194670.66830038608,2
only_buy_BKNG_value,168142.1150942285,3
only_buy_MLM_value,164536.0894402267,4
only_buy_VLO_value,159021.0132413005,5
only_buy_ALL_value,141389.5025370614,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_EXC_value,122894.43770367972,8
only_buy_PSA_value,103801.4742461517,9
only_buy_SYY_value,96453.4271233056,10
only_buy_MRK_value,92103.58227501695,11
only_buy_MMM_value,91022.70469269143,12
only_buy_VZ_value,74531.35490950114,13
