Ticker,final_values,rank
only_buy_MPC_value,227505.58980007854,1
only_buy_DE_value,191071.76485434442,2
only_buy_TMUS_value,189218.34938077317,3
only_buy_ETR_value,164340.19349727593,4
tota_cum_value,151681.56384124223,5
only_buy_NUE_value,144903.44443267531,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_C_value,132596.6238013531,8
only_buy_CSCO_value,130961.89303177822,9
only_buy_MDLZ_value,88567.5942312904,10
only_buy_AVB_value,78383.01329018439,11
only_buy_NKE_value,59337.6569828706,12
only_buy_BMY_value,59293.00561096666,13
