Ticker,final_values,rank
only_buy_TSLA_value,852285.1714254422,1
tota_cum_value,308899.8322704128,2
only_buy_COST_value,242591.90200228308,3
only_buy_AXP_value,215112.6237894863,4
only_buy_TMUS_value,189218.34938077317,5
only_buy_LIN_value,163842.4206058889,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_TMO_value,131161.84048540797,8
only_buy_CSCO_value,130961.89303177822,9
only_buy_EQIX_value,117707.92865400994,10
only_buy_DUK_value,116696.49213134237,11
only_buy_UNP_value,110450.28824521917,12
only_buy_CVX_value,109578.03841819474,13
