Ticker,final_values,rank
only_buy_TSM_value,446135.9071740666,1
only_buy_NFLX_value,333609.37823117926,2
only_buy_CAT_value,275411.48784346617,3
tota_cum_value,213186.99025673728,4
only_buy_NEM_value,185673.2572475223,5
only_buy_LOW_value,145813.8443586248,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_AEP_value,119293.32689118806,8
only_buy_CVX_value,109578.03780027476,9
only_buy_JNJ_value,106066.3323198442,10
only_buy_KO_value,103212.11922248454,11
only_buy_AMT_value,88426.78831334651,12
only_buy_USB_value,82047.83382413069,13
