Ticker,final_values,rank
only_buy_AVGO_value,888311.8448904158,1
only_buy_GOOG_value,253816.13769706068,2
tota_cum_value,213411.86017824122,3
only_buy_BKNG_value,168142.1150942285,4
only_buy_MLM_value,164536.0894402267,5
only_buy_ALL_value,141389.5025370614,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_DUK_value,116696.49213134237,8
only_buy_UNP_value,110450.28824521917,9
only_buy_COP_value,110133.58811026561,10
only_buy_PSA_value,103801.4742461517,11
only_buy_MDLZ_value,88567.5942312904,12
only_buy_BMY_value,59293.00561096666,13
