Ticker,final_values,rank
only_buy_JPM_value,210618.9956024592,1
only_buy_WMT_value,207922.161025349,2
only_buy_BKNG_value,168142.1150942285,3
only_buy_MLM_value,164536.0894402267,4
only_buy_RTX_value,146422.08340626088,5
tota_cum_value,136766.21069875182,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_CSCO_value,130961.89303177822,8
only_buy_DUK_value,116696.49213134237,9
only_buy_SPG_value,111187.83660606507,10
only_buy_COP_value,110133.58811026561,11
only_buy_PFE_value,59782.80513214336,12
only_buy_CHTR_value,48310.72385205812,13
