Ticker,final_values,rank
only_buy_AXP_value,215112.6237894863,1
only_buy_TJX_value,183734.02932350003,2
only_buy_MLM_value,164536.0894402267,3
only_buy_SO_value,138297.9139516132,4
only_buy_^SPX_value,136688.84807486032,5
only_buy_DHR_value,133512.44282674667,6
only_buy_PLD_value,128617.2355439045,7
tota_cum_value,125530.03037759762,8
only_buy_CRM_value,119675.870662481,9
only_buy_COP_value,110133.58811026561,10
only_buy_CL_value,77916.84618374998,11
only_buy_BA_value,74558.4821998789,12
only_buy_DIS_value,66839.0636706388,13
