Ticker,final_values,rank
only_buy_META_value,254636.15089405558,1
only_buy_AXP_value,215112.6237894863,2
only_buy_AMZN_value,195033.9423330396,3
only_buy_WELL_value,183395.29778483696,4
only_buy_^SPX_value,136688.84807486032,5
tota_cum_value,135661.66648552803,6
only_buy_TMO_value,131161.84048540797,7
only_buy_CRM_value,119675.870662481,8
only_buy_SRE_value,113558.64838681382,9
only_buy_KO_value,103212.11949624456,10
only_buy_APD_value,95895.05996280676,11
only_buy_BA_value,74558.4821998789,12
only_buy_OXY_value,67757.606639551,13
