Ticker,final_values,rank
only_buy_MSFT_value,301439.42575538676,1
only_buy_AXP_value,215112.6237894863,2
only_buy_ABBV_value,205307.42718064637,3
only_buy_^SPX_value,136688.84807486032,4
only_buy_NEE_value,133086.23549481956,5
tota_cum_value,132449.0081528655,6
only_buy_ECL_value,118214.2756653167,7
only_buy_PG_value,102948.72564846037,8
only_buy_AMT_value,88426.7886995065,9
only_buy_SBUX_value,83670.55582381814,10
only_buy_BA_value,74558.4821998789,11
only_buy_CMCSA_value,58059.87055102586,12
only_buy_HAL_value,57477.09715093998,13
