Ticker,final_values,rank
only_buy_NVDA_value,3736940.3008062644,1
tota_cum_value,447542.3009575737,2
only_buy_GS_value,218283.80889695976,3
only_buy_NUE_value,144903.44443267531,4
only_buy_PM_value,144750.70973073004,5
only_buy_^SPX_value,136688.84807486032,6
only_buy_SRE_value,113558.64838681382,7
only_buy_SPG_value,111187.83660606507,8
only_buy_JNJ_value,106066.3346444842,9
only_buy_SBUX_value,83670.55582381814,10
only_buy_BA_value,74558.4821998789,11
only_buy_VZ_value,74531.35490950114,12
only_buy_OXY_value,67757.606639551,13
