Ticker,final_values,rank
only_buy_GE_value,272677.8248358907,1
only_buy_GOOG_value,253816.13769706068,2
only_buy_GS_value,218283.80889695976,3
only_buy_MLM_value,164536.0894402267,4
only_buy_PM_value,144750.70973073004,5
tota_cum_value,144655.73805419862,6
only_buy_HD_value,138421.5059806146,7
only_buy_SO_value,138297.9139516132,8
only_buy_^SPX_value,136688.84807486032,9
only_buy_CRM_value,119675.870662481,10
only_buy_SPG_value,111187.83660606507,11
only_buy_MRK_value,92103.58227501695,12
only_buy_HAL_value,57477.09715093998,13
