Ticker,final_values,rank
only_buy_AAPL_value,295128.46274995245,1
only_buy_WMT_value,207922.161025349,2
only_buy_TMUS_value,189218.34938077317,3
only_buy_TJX_value,183734.02932350003,4
only_buy_FCX_value,167212.1143364197,5
tota_cum_value,162106.8053719105,6
only_buy_^SPX_value,136688.84807486032,7
only_buy_NEE_value,133086.23549481956,8
only_buy_C_value,132596.6238013531,9
only_buy_EQIX_value,117707.92865400994,10
only_buy_UNP_value,110450.28824521917,11
only_buy_JNJ_value,106066.3346444842,12
only_buy_OXY_value,67757.606639551,13
