Ticker,final_values,rank
only_buy_COST_value,242591.90387450304,1
only_buy_ABBV_value,205307.42810888632,2
only_buy_MLM_value,164536.08818604666,3
only_buy_BAC_value,143887.4236679772,4
only_buy_^SPX_value,136688.84807486032,5
tota_cum_value,133576.2241189188,6
only_buy_CRM_value,119675.870662481,7
only_buy_SRE_value,113558.64708873378,8
only_buy_SPG_value,111187.83607065504,9
only_buy_UNP_value,110450.28369921913,10
only_buy_VZ_value,74531.35597030113,11
only_buy_NKE_value,59337.657591450625,12
only_buy_SLB_value,58657.0419763784,13
