Ticker,final_values,rank
only_buy_AVGO_value,888311.8448904158,1
tota_cum_value,185328.55573774895,2
only_buy_^SPX_value,136688.84807486032,3
only_buy_NEE_value,133086.23549481956,4
only_buy_C_value,132596.6238013531,5
only_buy_SPG_value,111187.83660606507,6
only_buy_UNH_value,103946.16294823412,7
only_buy_KO_value,103212.11949624456,8
only_buy_APD_value,95895.05996280676,9
only_buy_MMM_value,91022.70469269143,10
only_buy_VZ_value,74531.35490950114,11
only_buy_TGT_value,70212.00533585736,12
only_buy_OXY_value,67757.606639551,13
